id,name,line,division,latitude,longitude
0,103rd St,8 Avenue,IND,40.796092,-73.961454
1,103rd St,Broadway-7th Ave,IRT,40.799446,-73.968379
2,103rd St,Flushing,IRT,40.749865,-73.8627
3,103rd St,Lexington,IRT,40.7906,-73.947478
4,104th St-102nd St,Broadway Jamaica,BMT,40.695178,-73.84433
5,104th St-Oxford Av,Liberty,IND,40.681711,-73.837683
6,110th St,Lexington,IRT,40.79502,-73.94425
7,110th St-Central Park North,Lenox,IRT,40.799075,-73.951822
8,111th St,Broadway Jamaica,BMT,40.697418,-73.836345
9,111th St,Flushing,IRT,40.75173,-73.855334
10,111th St-Greenwood Av,Liberty,IND,40.684331,-73.832163
11,116th St,8 Avenue,IND,40.805085,-73.954882
12,116th St,Lenox,IRT,40.802098,-73.949625
13,116th St,Lexington,IRT,40.798629,-73.941617
14,116th St-Columbia University,Broadway-7th Ave,IRT,40.807722,-73.96411
15,121st St,Broadway Jamaica,BMT,40.700492,-73.828294
16,125th St,8 Avenue,IND,40.811109,-73.952343
17,125th St,Broadway-7th Ave,IRT,40.815581,-73.958372
18,125th St,Lenox,IRT,40.807754,-73.945495
19,125th St,Lexington,IRT,40.804138,-73.937594
20,135th St,8 Avenue,IND,40.817894,-73.947649
21,135th St,Lenox,IRT,40.814229,-73.94077
22,137th St-City College,Broadway-7th Ave,IRT,40.822008,-73.953676
23,138th St,Jerome,IRT,40.813224,-73.929849
24,138th St-3rd Ave,Pelham,IRT,40.810476,-73.926138
25,145th St,8 Avenue,IND,40.824783,-73.944216
26,145th St,Broadway-7th Ave,IRT,40.826551,-73.95036
27,145th St,Lenox,IRT,40.820421,-73.936245
28,149th St-3rd Av,White Plains Road,IRT,40.816109,-73.917757
29,149th St-Grand Concourse,Jerome,IRT,40.818375,-73.927351
30,14th St,6 Avenue,IND,40.738228,-73.996209
31,14th St,8 Avenue,IND,40.740893,-74.00169
32,14th St,Broadway-7th Ave,IRT,40.737826,-74.000201
33,14th St-Union Square,Lexington,IRT,40.734673,-73.989951
34,155th St,8 Avenue,IND,40.830518,-73.941514
35,155th St,Concourse,IND,40.830135,-73.938209
36,157th St,Broadway-7th Ave,IRT,40.834041,-73.94489
37,163rd St - Amsterdam Av,8 Avenue,IND,40.836013,-73.939892
38,167th St,Concourse,IND,40.833769,-73.918432
39,167th St,Jerome,IRT,40.835537,-73.9214
40,168th St,Broadway-7th Ave,IRT,40.840556,-73.940133
41,168th St - Washington Heights,8 Avenue,IND,40.840719,-73.939561
42,169th St,Queens Boulevard,IND,40.71047,-73.793604
43,170th St,Concourse,IND,40.839306,-73.9134
44,170th St,Jerome,IRT,40.840075,-73.917791
45,174-175th Sts,Concourse,IND,40.8459,-73.910136
46,174th St,White Plains Road,IRT,40.837288,-73.887734
47,175th St,8 Avenue,IND,40.847391,-73.939704
48,176th St,Jerome,IRT,40.84848,-73.911794
49,181st St,8 Avenue,IND,40.851695,-73.937969
50,181st St,Broadway-7th Ave,IRT,40.849505,-73.933596
51,182nd-183rd Sts,Concourse,IND,40.856093,-73.900741
52,183rd St,Jerome,IRT,40.858407,-73.903879
53,18th Av,Culver,IND,40.629755,-73.976971
54,18th Av,Sea Beach,BMT,40.620671,-73.990414
55,18th Av,West End,BMT,40.607954,-74.001736
56,18th St,Broadway-7th Ave,IRT,40.74104,-73.997871
57,190th St,8 Avenue,IND,40.859022,-73.93418
58,191st St,Broadway-7th Ave,IRT,40.855225,-73.929412
59,1st Av,Canarsie,BMT,40.730953,-73.981628
60,207th St,Broadway-7th Ave,IRT,40.864614,-73.918819
61,20th Av,Sea Beach,BMT,40.61741,-73.985026
62,20th Av,West End,BMT,40.604556,-73.998168
63,215th St,Broadway-7th Ave,IRT,40.869444,-73.915279
64,219th St,White Plains Road,IRT,40.883895,-73.862633
65,21st St,63rd Street,IND,40.754203,-73.942836
66,21st St,Crosstown,IND,40.744065,-73.949724
67,225th St,White Plains Road,IRT,40.888022,-73.860341
68,231st St,Broadway-7th Ave,IRT,40.878856,-73.904834
69,233rd St,White Plains Road,IRT,40.893193,-73.857473
70,238th St,Broadway-7th Ave,IRT,40.884667,-73.90087
71,238th St-Nereid Av,White Plains Road,IRT,40.898379,-73.854376
72,23rd St,6 Avenue,IND,40.742878,-73.992821
73,23rd St,8 Avenue,IND,40.745906,-73.998041
74,23rd St,Broadway,BMT,40.741303,-73.989344
75,23rd St,Broadway-7th Ave,IRT,40.744081,-73.995657
76,23rd St,Lexington,IRT,40.739864,-73.986599
77,23rd St-Ely Av,Queens Boulevard,IND,40.747846,-73.946
78,25th Av,West End,BMT,40.597704,-73.986829
79,25th St,4 Avenue,BMT,40.660397,-73.998091
80,28th St,Broadway,BMT,40.745494,-73.988691
81,28th St,Broadway-7th Ave,IRT,40.747215,-73.993365
82,28th St,Lexington,IRT,40.74307,-73.984264
83,2nd Av,6 Avenue,IND,40.723402,-73.989938
84,30 Av-Grand Av,Astoria,BMT,40.766779,-73.921479
85,33rd St,Lexington,IRT,40.746081,-73.982076
